type,start,end,_end,title,description,category,project,keyword
Biography,1920-07-11,,,Becomes set designer of the Theatre Section of the Political Administration of the Western Front in Smolensk.,"Arrival in Smolensk, where Sergei Eisenstein becomes set designer of the Theatre Section of the Political Administration of the Western Front. He lives in a freight car and later describes life on the train station grounds as his most terrible experience, that inspired him for several scenes in his films.",Biography and Personality;Cinema and Theatre;Graphic Art,,Travels;Political Department of the Western Front
Cinema,1920-07-14,1920-10-22,1920-10-22,Creates the set for a performance of King Harlequin.,Development of the set for King Harlequin (1900) by Rudolph Lothar; he also works on the direction of the finale.,Cinema and Theatre;Graphic Art,,Set Design;King Harlequin;Rudolph Lothar
Cinema,1920-07-16,1920-07-19,1920-07-19,Set designs for Les Mauvais Bergers.,Set designs for the drama Les Mauvais Bergers by Octave Mirbeau.,Cinema and Theatre;Graphic Art,,Set Design;Jean and Madeleine;Mirbeau
Cinema,1920-07-19,1920-09-09,1920-09-09,Works on The Builder of Cologne Cathedral.,"Sergei Eisenstein occupies himself with the Morality Play The Builder of Cologne Cathedral, which was probably written by himself.",Cinema and Theatre,,The builder of Cologne Cathedral
Cinema,1920-07-21,,,Designs decorations for his own comedy The Seminarist.,"For the comedy The Seminarist, an adaption written by Sergei Eisenstein himself, designs for the set at the Theatre of Revolutionary Satire are developed.",Cinema and Theatre;Graphic Art,,The Seminarist;Theatre of revolutionary satire;Set Design;Comedy
Cinema,1920-07-27,,,Designs for a Sologub drama.,"For the drama Vanka, the Butler, and Page Jean by Fëdor Sologub, Sergei Eisenstein creates set and costume designs.",Cinema and Theatre;Graphic Art,,Pförtner Hänschen und Page Jean;Fëdor Sologub;Set Design;Costume Design
Cinema,1920-07-00,1920-07-00,,Designs for The Life and Death of King John.,Set designs for William Shakespeares The Life and Death of King John (1596?).,Cinema and Theatre;Graphic Art,,Shakespeare;The Life and Death of King John;Set Design
Biography,1920-08-04,,,Starts working in Minsk.,"Sergei Eisenstein arrives in Minsk. Together with Konstantin Eliseev and others, he designs Agit trains. Eisenstein and Eliseev probably work at the Minsk State Theatre.",Biography and Personality,,Minsk State Theatre
Biography,1920-08-04,,,Studies Japanese and the Kabuki Theatre.,"Sergei Eisenstein studies the Japanese language and discovers Kabuki Theatre based on which he will later develop the theory of ""intellectual film"".",Biography and Personality;Cinema and Theatre,,Kabuki theatre;Intellectual film
Cinema,1920-09-12,,,Designs for a play presumably written by himself.,"For the Comedy of a Page Who Stole the Young Princess’s Heart, presumably written by Sergei Eisenstein, he creates costume and set designs.",Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Comedy of the bellboy who stole the heart of a young queen
Biography,1920-09-27,,,Travels to Moscow to study Japanese at the General Staff Academy.,Sergei Eisenstein travels to Moscow to study Japanese at the General Staff Academy; during a stopover in Vitebsk he sees the suprematist wall paintings of Kasimir Malevič.,Biography and Personality;Graphic Art,,Travels;Kasimir Malevič
Biography,1920-09-27,1920-12-30,1920-12-30,Reunion with Maskim Štrauch.,"In front of the Chamber Theatre in Moscow, Sergei Eisenstein coincidentally meets Maskim Štrauch.",Biography and Personality,,Maskim Štrauch
Biography,1920-09-27,1920-12-30,1920-12-30,Moves in with Maskim Štrauch.,Sergei Eisenstein moves into the apartment of Maskim Štrauch.,Biography and Personality,,
Biography,1920-09-27,1920-12-30,1920-12-30,Sergei Eisenstein and Maskim Štrauch join the theatre group of the Moscow Proletkult.,"While Sergei Eisenstein and Maskim Štrauch are looking for a job together, both of them meet the director Valentin S. Smyšljaev by chance; through his mediation they are accepted into the theatre group of the Moscow Proletkult.",Biography and Personality;Cinema and Theatre,,Maskim Štrauch;Valentin S. Smyšljaev
Cinema,1920-09-27,1920-12-30,1920-12-30,Begins to think about the activation of the spectator in theatre.,"During the rehearsal work in the Proletkult, Sergei Eisenstein comes to the conclusion that the conventional illusionistic theatre contributes to a passive attitude of the spectator towards his own possibilities of self-realization.",Cinema and Theatre,Proletkult,Proletkult
Biography,1920-10-08,,,Is enrolled at the General Staff Academy.,Sergei Eisenstein is enrolled as a student of the Oriental Languages Department at the General Staff Academy.,Biography and Personality,,"Oriental Languages Department,General Staff Academy;Education"
Cinema,1920-10-10,,,Designs for The heirs of Rabourdin.,"Set designs for Émile Zola, The Heirs of Rabourdin (1878).",Cinema and Theatre;Graphic Art,,Emile Zola;The heirs of Rabourdin
Cinema,1920-10-13,,,Designs for Une vieille maitresse.,Set designs for a dramatization of the novel Une vieille maitresse (1851) by Jules Barbey dAurevilly.,Cinema and Theatre;Graphic Art,,The Revenge of the Woman;Une vieille maitresse;Barbey d'Aureville
Cinema,1920-10-20,,,Becomes deputy head of the Set Department at Proletkult.,Sergei Eisenstein is appointed deputy head of the Set Department at Proletkult.,Cinema and Theatre;Graphic Art,Proletkult,Decoration Department at Proletkult
Cinema,1920-10-23,,,For the performance of The Mexican Sergei Eisenstein works not only as Set Designer but also Co-Director for the first time.,"Together with Leonid Nikitin, Sergei Eisenstein begins designing the set, scenery and masks for The Mexican by Jack London, dramatized by Boris Arvatov, Valentin Smyšljaev and Eisenstein. Sergei Eisenstein writes most notably the interludes. He advances from Set Designer to Co-Director: At his suggestion, the boxing match - a key scene - is performed directly on stage and is not transmitted to the spectators through a wall show.",Cinema and Theatre;Graphic Art,Proletkult,Costume Design;Set Design;Proletkult;Boris Arvatov;The Mexican Felipe Rivera;Jack London
Biography,1920-11-00,1920-11-00,,Leaves the General Staff Academy.,Sergei Eisenstein declares his resignation from the General Staff Academy.,Biography and Personality,,Education
Cinema,1920-11-00,1920-11-00,,Set designs for Marriage.,Working on set designs for Nikolaj Gogols comedy Marriage (1842).,Cinema and Theatre;Graphic Art,,Gogol;Comedy;Marriage;Set Design
Biography,1920-12-01,,,The independence of Proletkult from state and party is abandoned.,"The CC of the RKP(b) (Central Committee of the Russian Communist Party (Bolsheviks)) and, on its instructions, the Communist faction of the last All-Russian Proletkult Congress decides to subordinate the Proletkult Organizations to the Peoples Commissariat of Education with the rank of a department. Thus the hard-defended independence of the Proletkult from the state and party is abandoned.",Biography and Personality;Cinema and Theatre,Proletkult,Central Committee of the Russian Communist Party;All-Russian Proletkul't Congress
Cinema,1920-12-01,,,Begins teaching theatre at TEO.,"Sergei Eisenstein begins his teaching in the theatre workshops of the Moscow Proletkult, the TEO. His students include Maksim Štrauch, Yudif Glizer and Grigoriy Aleksandrov.",Cinema and Theatre;Writing and Teaching,Proletkult,Proletkult;Maksim Štrauch;Yudif Glizer;Grigori Aleksandrov
Cinema,1922-07-00,1922-07-00,,Becomes director of TEO,"Sergei Eisenstein takes over the management of TEO. Initially it was under the direction of Vsevolod Meyerhold, who proclaims the ""Theatre October"" there: The political revolution should be followed by the revolutionization of the theatre.",Cinema and Theatre;Writing and Teaching,Proletkult,Proletkult;Meyerhold
Cinema,1920-12-21,,,Designs for The Golden Pot.,Costume and mask designs for The Golden Pot after the eponymous story by E. T. A. Hoffmann.,Cinema and Theatre;Graphic Art,,The Golden Pot;E.T.A. Hoffmann;Costume Design;Set Design
Cinema,1920-00-00,1920-00-00,,Several designs and sketches from 1920 are preserved.,"Archived designs and sketches dating to 1920 include: David-Augustine Brueys/Jean Palapart, L’Avocat Patelin; Maurice Maeterlinck, Aglavaine et Selysette (1896), drama; Molière, Tartuffe (1669), comedy; Lev N. Tolstoj, The First Distiller, drama; Aleksandr N. Ostrovskiy, Vasilisa Maletevna (1868), historical drama; Anton Rubinštejn, Demon, opera after the poem of the same name by Mikhail Lermontov; Pëtr Čajkovskij, Eugen Onegin, opera after the verse of the same name by Aleskandr Puškin; William Shakespeare, King Henry IV (1597); Shakespeare, King Richard III. (1595? ); Richard Brinsley Sheridan, The School for Scandal (1777), comedy; Sergei Eisenstein, Amusing Interlude of Two Cavaliers in Love with the Same Girl; The Victory of Mademoiselle Tamarina, farce (author not established); Miracle-play of an Emperor Who Murdered His Nephew, Morality-Play (author not established); Shakespeare, Twelfth Night (1600?), comedy; Jacinto Benavente y Martínez, Los Intereses Creados, comedy; Aleksandr Vermišev, The Red Truth; Émile Zola, Pot Bouille.",Cinema and Theatre;Graphic Art,,David-Augustine Brueys/Jean Palapart;Advokat Patelin;Maeterlinck;Aglavaine and Sélysette;Molière;Tartuffe;Lev N. Tolstoj;The first distillery;Aleksandr N. Ostrovskiy;Vasilisa Malet'evna;A. Rubinštejn;The Demon;Lermontov;Cajkovskij;Eugen Onegin;Puškin;Shakespeare;King Henry IV;Shakespeare;King Richard III;Richard Brinsley Sheridan;The School of Blasphemy;An entertaining intermezzo about two gentlemen in love with the same;The Victory of Mademoiselle Tamarina;Miracle play about the emperor who killed his blood relative;Moralité;Shakespeare;What You Will;Jacinto Benavente y Martínez;The Virtuous Fortune Knight;Vermišev;The Red Truth;Zola;The Scum;Comedy
Biography,1911-00-00,1911-00-00,,"State Councillor Michaïl Ossipovič Eisenstein during the morning ride with his son Sergei Eisenstein, Riga 1911","State Councillor Michaïl Ossipovič Eisenstein during the morning ride with his son Sergei Eisenstein, Riga 1911",Biography and Personality,,Michaïl Ossipovič 
Cinema,1921-01-07,,,Works on a parody of the Taïrov-staging The Yellow Jacket.,"Sergei Eisenstein creates set and costume designs under the working title The Yellow Vest, presumably as a parody of Aleksandr Taïrovs staging of The Yellow Jacket by George C. Hazelton and Joseph Harry Benrimo from 1913.",Cinema and Theatre;Graphic Art,,The Yellow Vest;Aleksandr Taïrov;The Yellow Jacket;George C. Hazelton;Joseph Harry Benrimo
Cinema,1921-01-13,1921-01-22,1921-01-22,Designs sets and masks for Dawn of the Proletkult.,"Sergei Eisenstein designs sets and masks for a production of the Moscow First Workers Theatre of the Proletkult of Dawn of the Proletkult, a text montage by Vasili Ignatov.",Cinema and Theatre;Graphic Art,Proletkult,Dawn of the Proletkult;Proletkult;Vasili Ignatov 
Cinema,1921-04-13,,,Joins theatre board of Proletkult Central Arena.,"Sergei Eisenstein is confirmed as a member of the theatre board of the Proletkult Central Arena. In this board, among other things, questions of the repertoire are regulated.",Cinema and Theatre,Proletkult,Proletkul't Central Arena
Cinema,1921-04-21,1921-07-00,1921-07-00,Works on the directors draft and design of the set for King Hunger.,Sergei Eisenstein works on the directors draft and design of the set for the allegorical-symbolic play King Hunger by Leonid Andreev.,Cinema and Theatre;Graphic Art,,Tsar Hunger;Andreev
Cinema,1921-04-00,1921-04-00,,Observes Vsevolod Meyerhold and Vladimir Majakovskij during one of the last rehearsals for Mystery-Bouffe,"In the end of april, Sergei Eisenstein observes Vsevolod Meyerhold and Vladimir Majakovskij during one of the last rehearsals for Mystery-Bouffe (Second Version) inTheatre One of the RSFSR in Moscow until he is expelled.",Cinema and Theatre,,Meyerhold;Majakovskij;Mystery Bouffe;Russian Soviet Federative Socialist Republic
Cinema,1921-05-01,,,Premiere of Dawn of the Proletkult.,Premiere of Dawn of the Proletkult.,Cinema and Theatre,Proletkult,Dawn of the Proletkul't;Proletkult
Cinema,1921-05-03,,,First internal performance of The Mexican,First internal performance of the The Mexican by the Proletkult Theatre.,Cinema and Theatre,Proletkult,The Mexican;Proletkul't Theatre;Proletkult
