type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Cinema,89,1920-07-16,,1920,Decoration designs for Jean and Madeleine.,Decoration designs for the drama Jean und Madeleine by Mirbeau.,Cinema and Theatre;Graphic Art,,Set Design;Jean and Madeleine;Mirbeau,,1,20
Cinema,90,1920-07-19,,1920,Works on The builder of Cologne Cathedral.,"Eisenstein occupies himself with the morality Der Erbauer des Kölner Doms, which was probably written by himself.",Cinema and Theatre,,The builder of Cologne Cathedral,,1,20
Cinema,91,1920-07-21,,1920,Designs decorations for his own comedy The seminarist.,"For the comedy Der Seminarist, written by Eisenstein, designs for the decoration of the Theater der revolutionären Satire are developed.",Cinema and Theatre;Graphic Art,,The Seminarist;Theatre of revolutionary satire;Set Design;Comedy,,1,20
Cinema,92,1920-07-27,,1920,Designs for a Sologub drama.,"For the drama ""Pförtner Hänschen und Page Jean"" by Fëdor Sologub, Eisenstein creates decoration and costume designs.",Cinema and Theatre;Graphic Art,,Pförtner Hänschen und Page Jean;Fëdor Sologub;Set Design;Costume Design,,1,20
Cinema,93,1920-07-00,,1920,Designs for The Life and Death of King John.,Decoration designs for Shakespeares The Life and Death of King John (1596?).,Cinema and Theatre;Graphic Art,,Shakespeare;The Life and Death of King John;Set Design,,1,20
Biography,94,1920-08-04,,1920,Starts working in Minsk.,"Eisenstein arrives in Minsk. Together with Konstantin Eliseev and others, he equips Agit trains. Eisenstein and Eliseev probably work at the Minsk State Theatre.",Biography and Personality,,Minsk State Theatre,,20,20
Biography,95,1920-08-04,,1920,Studies Japanese and the Kabuki theatre.," Eisenstein studies the Japanese language and discovers Kabuki theatre based on which he will later develop the theory of ""intellectual film"".",Biography and Personality;Cinema and Theatre,,Kabuki theatre;Intellectual film,,20,20
Cinema,96,1920-09-12,,1920,Designs for a play presumably written by himself.,"For the Komödie vom Pagen, der das Herz einer jungen Königin stahl, presumably written by E., he creates costume and decoration designs.",Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Comedy of the bellboy who stole the heart of a young queen,,1,20
Biography,97,1920-09-27,,1920,Travels to Moscow to study Japanese at the General Staff Academy.,Eisenstein travels to Moscow to study Japanese at the General Staff Academy; during a stopover in Vitebsk he sees the suprematist wall paintings of Kasimir Malevič.,Biography and Personality;Graphic Art,,Travels;Kasimir Malevič,,20,20
Biography,98,1920-09-27,,1920,Reunion with Maskim Štrauch.,"In front of the Chamber Theatre in Moscow, Eisenstein coincidentally meets Maskim Štrauch.",Biography and Personality,,Maskim Štrauch,,20,20
Biography,99,1920-09-27,,1920,Moves in with Maskim Štrauch.,Eisenstein moves into the apartment of Maskim Štrauch.,Biography and Personality,,,,20,20
Biography,100,1920-09-27,,1920,Eisenstein and Maskim Štrauch join the theatre group of the Moscow Proletkult.,"While Eisenstein and Maskim Štrauch are looking for a job together, both of them meet the director Valentin S. Smyšljaev by chance; through his mediation they are accepted into the theatre group of the Moscow Proletkult.",Biography and Personality;Cinema and Theatre,,Maskim Štrauch;Valentin S. Smyšljaev,,20,20
Cinema,101,1920-09-27,,1920,Begins to think about the activation of the spectator in theatre.,"During the rehearsal work in the Proletkult, Eisenstein comes to the conclusion that the conventional illusionistic theatre contributes to a passive attitude of the spectator towards his own possibilities of self-realization.",Cinema and Theatre,Proletkult,Proletkult,,1,20
Biography,102,1920-10-08,,1920,Is enrolled at the General Staff Academy.,Eisenstein is enrolled as a student of the Oriental Languages Department at the General Staff Academy.,Biography and Personality,,"Oriental Languages Department,General Staff Academy;Education",,20,20
Cinema,103,1920-10-10,,1920,Designs for The heirs of Rabourdin.,"Decoration designs for Emile Zola, The heirs of Rabourdin (1878).",Cinema and Theatre;Graphic Art,,Emile Zola;The heirs of Rabourdin,,1,20
Cinema,104,1920-10-13,,1920,Designs for Die Rache der Frau.,"Decoration designs for Die Rache der Frau, dramatization based on the novel Une vieille maitresse (1851) by Barbey dAureville.",Cinema and Theatre;Graphic Art,,The Revenge of the Woman;Une vieille maitresse;Barbey d'Aureville,,1,20
Cinema,105,1920-10-20,,1920,Becomes deputy head of the Decoration Department at Proletkult.,Eisenstein is appointed deputy head of the Decoration Department at Proletkult.,Cinema and Theatre;Graphic Art,Proletkult,Decoration Department at Proletkult,,1,20
Cinema,106,1920-10-23,,1920,For the performance of The Mexican Eisenstein works not only as stage designer but also co-director for the first time.,"Together with I.I. Nikitin, Eisenstein begins designing the decoration, scenery and masks for the story dramatized by Boris Arvatov, Smyšljaev and Eisenstein. The Mexican Felipe Rivera by Jack London, which was performed under the title The Mexican at the Moscow First Workers Theater of the Proletkult. Eisenstein writes especially the interludes. Eisenstein advances from stage designer to co-director: At his suggestion, the boxing match - a key scene - is performed directly on stage and is not transmitted to the spectators through a wall show.",Cinema and Theatre;Graphic Art,Proletkult,Costume Design;Set Design;Proletkult;Boris Arvatov;The Mexican Felipe Rivera;Jack London,,1,20
Biography,107,1920-11-00,,1920,Leaves the General Staff Academy.,Eisenstein declares his resignation from the General Staff Academy.,Biography and Personality,,Education,,20,20
Cinema,108,1920-11-00,,1920,Decoration designs for Marriage.,Working on decoration designs for Gogols comedy Marriage (1842).,Cinema and Theatre;Graphic Art,,Gogol;Comedy;Marriage;Set Design,,1,20
Biography,109,1920-12-01,,1920,The independence of Proletkult from state and party is abandoned.,"The CC of the RKP(b) (Central Committee of the Russian Communist Party (Bolsheviks)) and, on its instructions, the Communist faction of the last All-Russian Proletkult Congress decides to subordinate the Proletkult Organizations to the Peoples Commissariat of Education with the rank of a department. Thus the hard-defended independence of the Proletkult from the state and party is abandoned.",Biography and Personality;Cinema and Theatre,Proletkult,Central Committee of the Russian Communist Party;All-Russian Proletkul't Congress,,20,20
Cinema,110,1920-12-01,,1920,Begins teaching at TEO.,"E. begins his teaching in the theatre workshops of the Moscow Proletkult, the TEO. His students include Maksim Štrauch, Yudif Glizer and Grigoriy Aleksandrov.",Cinema and Theatre,Proletkult,Proletkult;Maksim Štrauch;Yudif Glizer;Grigori Aleksandrov,,1,20
Cinema,111,1922-07-00,,1922,Becomes director of TEO,"Eisenstein takes over the management of TEO. Initially it was under the direction of Meyerhold, who proclaims the ""Theatre October"" there: The political revolution should be followed by the revolutionization of the theatre.",Cinema and Theatre,Proletkult,Proletkult;Meyerhold,,1,20
Cinema,112,1920-12-21,,1920,Designs for The Golden Pot.,Costume and mask designs for The Golden Pot after the eponymous story by E. T. A. Hoffmann.,Cinema and Theatre;Graphic Art,,The Golden Pot;E.T.A. Hoffmann;Costume Design;Set Design,,1,20
Cinema,113,1920-00-00,,1920,Several designs and sketches from 1920 are preserved.,"Archived designs and sketches dating to 1920 include: David-Augustine Brueys/Jean Palapart, Advokat Patelin; Maeterlinck, Aglavaine and Sélysette (1896), drama; Molière, Tartuffe (1669), comedy; Lev N. Tolstoj, The first distillery, drama; Aleksandr N. Ostrovskiy, Vasilisa Maletevna (1868), historical drama; A. Rubinštejn, The Demon, opera after the poem of the same name by Lermontov; Cajkovskij, Eugen Onegin, opera after the verse of the same name by Puškin; Shakespeare, King Henry IV  (1597); Shakespeare, King Richard III. (1595? ); Richard Brinsley Sheridan, ""The School of Blasphemy"" (1777), comedy; Eisenstein, ""An entertaining intermezzo about two gentlemen in love with the same""; ""The Victory of Mademoiselle Tamarina"", farce (author not established); ""Miracle play about the emperor who killed his blood relative"", ""Moralité"" (author not established); Shakespeare, ""What You Will"" (1600?), comedy. Jacinto Benavente y Martínez, The Virtuous Fortune Knight, comedy; Vermišev, The Red Truth; Zola, The Scum.",Cinema and Theatre;Graphic Art,,David-Augustine Brueys/Jean Palapart;Advokat Patelin;Maeterlinck;Aglavaine and Sélysette;Molière;Tartuffe;Lev N. Tolstoj;The first distillery;Aleksandr N. Ostrovskiy;Vasilisa Malet'evna;A. Rubinštejn;The Demon;Lermontov;Cajkovskij;Eugen Onegin;Puškin;Shakespeare;King Henry IV;Shakespeare;King Richard III;Richard Brinsley Sheridan;The School of Blasphemy;An entertaining intermezzo about two gentlemen in love with the same;The Victory of Mademoiselle Tamarina;Miracle play about the emperor who killed his blood relative;Moralité;Shakespeare;What You Will;Jacinto Benavente y Martínez;The Virtuous Fortune Knight;Vermišev;The Red Truth;Zola;The Scum;Comedy,,1,20
Biography,114,1897-00-00,,1897,"Michaïl Ossipovič Eisenstein (father),  Julija Ivanova (mother) und Iraïda Mateevna Koneckij (grandmother), Riga 1897","Michaïl Ossipovič Eisenstein (father),  Julija Ivanova (mother) und Iraïda Mateevna Koneckij (grandmother), Riga 1897",Biography and Personality,,,1,20,20
Biography,115,1911-00-00,,1911,"State Councillor Michaïl Ossipovič Eisenstein during the morning ride with his son Sergei Eisenstein, Riga 1911","State Councillor Michaïl Ossipovič Eisenstein during the morning ride with his son Sergei Eisenstein, Riga 1911",Biography and Personality,,Michaïl Ossipovič ,1,20,20
Cinema,116,1921-01-07,,1921,Works on a parody of the Taïrov-staging The Yellow Jacket.,"Eisenstein creates decorative and costume designs under the working title The Yellow Vest, presumably as a parody of Aleksandr Taïrovs staging of The Yellow Jacket by George C. Hazelton and Joseph Harry Benrimo from 1913.",Cinema and Theatre;Graphic Art,,The Yellow Vest;Aleksandr Taïrov;The Yellow Jacket;George C. Hazelton;Joseph Harry Benrimo,1,1,20
Cinema,117,1921-01-13,,1921,Designs decorations and masks for Dawn of the Proletkult.,"Eisenstein designs decorations and masks for a production of the Moscow First Workers Theatre of the Proletkult of Dawn of the Proletkult, a text montage by Vasili Ignatov.",Cinema and Theatre;Graphic Art,Proletkult,Dawn of the Proletkult;Proletkult;Vasili Ignatov ,,1,20
Cinema,118,1921-04-13,,1921,Joins theatre board of Proletkult Central Arena.,"Eisenstein is confirmed as a member of the theatre board of the Proletkult Central Arena. In this board, among other things, questions of the repertoire are regulated.",Cinema and Theatre,Proletkult,Proletkul't Central Arena,,1,20
Cinema,119,1921-04-21,,1921,Works on the directors draft and design of the set for Tsar Hunger.,Eisenstein works on the directors draft and design of the set for the allegorical-symbolic play Tsar Hunger by Andreev.,Cinema and Theatre;Graphic Art,,Tsar Hunger;Andreev,,1,20
Cinema,120,1921-04-00,,1921,Observes Meyerhold and Majakovskij during one of the last rehearsals for Mystery-Bouffe,"In the end of april, Eisenstein observes Meyerhold and Majakovskij during oneof the last rehearsals for Mystery-Bouffe (Second Version) inTheatre One of the RSFSR (= Russian Soviet Federative Socialist Republic) in Moscow until he is expelled.",Cinema and Theatre,,Meyerhold;Majakovskij;Mystery Bouffe;Russian Soviet Federative Socialist Republic,,1,20
Cinema,121,1921-05-01,,1921,Premiere of Dawn of the Proletkult.,Premiere of Dawn of the Proletkult.,Cinema and Theatre,Proletkult,Dawn of the Proletkul't;Proletkult,,1,20
Cinema,122,1921-05-03,,1921,First internal performance of The Mexican,First internal performance of the The Mexican by the Proletkult Theatre.,Cinema and Theatre,Proletkult,The Mexican;Proletkul't Theatre;Proletkult,,1,20
Cinema,123,1921-05-18,,1921,First public performance of The Mexican,First public performance of The Mexican at the Proletkult Central Arena.,Cinema and Theatre,,Proletkul't Central Arena;Proletkult;The Mexican,,1,20
